Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Method,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_1).keyReleased",,2,,1
Class,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_2)",2,2,1,1
Public Method,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_2).actionPerformed",,2,,1
Class,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_3)",2,2,1,1
Public Method,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_3).actionPerformed",,2,,1
Class,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_4)",1,1,1,0
Public Method,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_4).actionPerformed",,1,,0
Class,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_5)",1,1,1,0
Public Method,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_5).actionPerformed",,1,,0
Public Method,"view.InternalFrameVendaCliente.fazerVenda",,7,,4
Public Static Method,"view.InternalFrameVendaCliente.obterTabelaVendas",,1,,0
Public Class,"view.PanelClienteCenter",3,15,1,2
Public Constructor,"view.PanelClienteCenter.PanelClienteCenter",,2,,0
Class,"view.PanelClienteCenter.PanelClienteCenter.(Anon_1)",3,3,1,2
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_1).actionPerformed",,3,,2
Class,"view.PanelClienteCenter.PanelClienteCenter.(Anon_2)",1,2,1,0
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_2).mouseEntered",,1,,0
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_2).mouseExited",,1,,0
Class,"view.PanelClienteCenter.PanelClienteCenter.(Anon_3)",2,5,1,2
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_3).keyPressed",,1,,0
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_3).keyReleased",,4,,2
Class,"view.PanelClienteCenter.PanelClienteCenter.(Anon_4)",2,2,1,1
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_4).actionPerformed",,2,,1
Class,"view.PanelClienteCenter.PanelClienteCenter.(Anon_5)",2,2,1,1
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_5).actionPerformed",,2,,1
Class,"view.PanelClienteCenter.PanelClienteCenter.(Anon_6)",2,2,1,1
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_6).actionPerformed",,2,,1
Class,"view.PanelClienteCenter.PanelClienteCenter.(Anon_7)",2,2,1,1
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_7).actionPerformed",,2,,1
Class,"view.PanelClienteCenter.PanelClienteCenter.(Anon_8)",2,2,1,1
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_8).actionPerformed",,2,,1
Class,"view.PanelClienteCenter.PanelClienteCenter.(Anon_9)",2,2,1,1
Public Method,"view.PanelClienteCenter.PanelClienteCenter.(Anon_9).actionPerformed",,2,,1
Private Static Method,"view.PanelClienteCenter.addPopup",,1,,0
Class,"view.PanelClienteCenter.addPopup.(Anon_10)",1,5,1,1
Public Method,"view.PanelClienteCenter.addPopup.(Anon_10).mousePressed",,2,,1
Public Method,"view.PanelClienteCenter.addPopup.(Anon_10).mouseReleased",,2,,1
Private Method,"view.PanelClienteCenter.addPopup.(Anon_10).showMenu",,1,,0
Public Method,"view.PanelClienteCenter.mostarTabelaCliente",,2,,1
Public Method,"view.PanelClienteCenter.mostraTabelaCompras",,5,,2
Public Method,"view.PanelClienteCenter.mostraTabelaEstatistica",,5,,2
Public Class,"view.PanelFornecedorCenter",3,33,1,5
Public Constructor,"view.PanelFornecedorCenter.PanelFornecedorCenter",,2,,0
Class,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_1)",3,3,1,2
Public Method,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_1).actionPerformed",,3,,2
Class,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_10)",1,1,1,0
Public Method,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_10).actionPerformed",,1,,0
Class,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_11)",2,2,1,1
Public Method,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_11).keyReleased",,2,,1
Class,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_12)",2,2,1,1
Public Method,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_12).keyReleased",,2,,1
Class,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_13)",2,2,1,1
Public Method,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_13).actionPerformed",,2,,1
Class,"view.PanelFornecedorCenter.PanelFornecedorCenter.(Anon_14)",2,2,1,1
